Num,Time,year,month,day,Customer,CustomerCode,Item,ItemCode,ItemCodeSub,Quantity,UnitPrice,Tax,Amount,Des,ReceiptNo
71047,6/1/2018,2018,1,6,Baker's Professional Lighting:Store #25,Ba5,"Beveled Mirror, Etched Ribbed Glass (75 watt max)",AB20, BakerBeve13 ,10,1.1,13.09090909,144,"71047Baker's Professional Lighting:Store #25Beveled Mirror, Etched Ribbed Glass (75 watt max)",1111
71047,6/1/2018,2018,1,6,Baker's Professional Lighting:Store #25,Ba5,"Black Finish, Solid Brass, Clear Glass, Hanging, 2-60 watt max.",AB22, BakerBlac12 ,2,5.5,7.636363636,84,"71047Baker's Professional Lighting:Store #25Black Finish, Solid Brass, Clear Glass, Hanging, 2-60 watt max.",1112
71047,6/1/2018,2018,1,6,Baker's Professional Lighting:Store #25,Ba5,Burnished Brass (60 watt)  w/Golden Umber Accents,AB37, BakerBurn15 ,40,0.275,54.54545455,600,71047Baker's Professional Lighting:Store #25Burnished Brass (60 watt)  w/Golden Umber Accents,1113
71047,6/1/2018,2018,1,6,Baker's Professional Lighting:Store #25,Ba5,"Cand. Light, 20 watts (8 pack)",AB38, BakerCand20 ,20,0.55,5.090909091,56,"71047Baker's Professional Lighting:Store #25Cand. Light, 20 watts (8 pack)",1114
71047,6/1/2018,2018,1,6,Baker's Professional Lighting:Store #25,Ba5,"Halogen Lamp, 20 watts, Luminous Intensity",AB60, BakerHalo19 ,2,5.5,1.090909091,12,"71047Baker's Professional Lighting:Store #25Halogen Lamp, 20 watts, Luminous Intensity",1115
71047,6/1/2018,2018,1,6,Baker's Professional Lighting:Store #25,Ba5,"Pearl Nickle, 5 Light, Medium Base (100 watt max)",AB64, BakerPear11 ,20,0.55,51.81818182,570,"71047Baker's Professional Lighting:Store #25Pearl Nickle, 5 Light, Medium Base (100 watt max)",1116
71047,6/1/2018,2018,1,6,Baker's Professional Lighting:Store #25,Ba5,"Pendant Bar, Cobblestone, 50lbs. max",AB65, BakerPend17 ,20,0.55,4.545454545,50,"71047Baker's Professional Lighting:Store #25Pendant Bar, Cobblestone, 50lbs. max",1117
71047,6/1/2018,2018,1,6,Baker's Professional Lighting:Store #25,Ba5,"Specialty Bulbs, 100 watt (6 pack)",AB74, BakerSpec16 ,10,1.1,5,55,"71047Baker's Professional Lighting:Store #25Specialty Bulbs, 100 watt (6 pack)",1118
71047,6/1/2018,2018,1,6,Baker's Professional Lighting:Store #25,Ba5,"Tiffany Collection,Golden Baroque, 1-light lantern, medium base (100 watt max)",AB84, BakerTiff14 ,4,2.75,46.36363636,510,"71047Baker's Professional Lighting:Store #25Tiffany Collection,Golden Baroque, 1-light lantern, medium base (100 watt max)",1119
71047,6/1/2018,2018,1,6,Baker's Professional Lighting:Store #25,Ba5,"Verona Collection, Pendant, Cobblestone, Etched Alabaster Glass, 150 watt max",AB85, BakerVero18 ,9,1.222222222,27.27272727,300,"71047Baker's Professional Lighting:Store #25Verona Collection, Pendant, Cobblestone, Etched Alabaster Glass, 150 watt max",1120
